iter	RMSE
0	0.1542321601
1	0.1522349156
2	0.150284006
3	0.1485751421
4	0.1470624397
5	0.1455785245
6	0.1441918223
7	0.1427360165
8	0.1416201892
9	0.1406800071
10	0.1396783311
11	0.1386505976
12	0.1375136204
13	0.1365005426
14	0.1356163334
15	0.1348089259
16	0.1339062357
17	0.1330352188
18	0.1324246916
19	0.1317942682
20	0.1310702537
21	0.1303980726
22	0.1296283547
23	0.1290792137
24	0.128534018
25	0.1278681905
26	0.1273555521
27	0.126733561
28	0.1262554379
29	0.1258842872
30	0.1252949313
31	0.1247346694
32	0.1242651549
33	0.1238946025
34	0.1232226713
35	0.1228321837
36	0.1223307943
37	0.1218265311
38	0.1215405166
39	0.1212069339
40	0.120753558
41	0.1201531757
42	0.119658211
43	0.1191857076
44	0.1186380023
45	0.1182453717
46	0.1177172132
47	0.1173230295
48	0.1168556167
49	0.1165709288
50	0.1162306015
51	0.1159221414
52	0.1155818096
53	0.1152197919
54	0.1147692638
55	0.1143348975
56	0.1139673027
57	0.1137160512
58	0.1133791097
59	0.112955927
60	0.112665872
61	0.1122887544
62	0.1119597075
63	0.1115550212
64	0.1111910031
65	0.1108763045
66	0.1104992587
67	0.110224269
68	0.109862306
69	0.1095604864
70	0.1091982588
71	0.1088441553
72	0.1085719943
73	0.1083169808
74	0.1079738087
75	0.1075472666
76	0.1070261387
77	0.1067601266
78	0.1065934543
79	0.1063555397
80	0.1060609704
81	0.1058113949
82	0.1054886357
83	0.1052935854
84	0.1050187274
85	0.1047225757
86	0.1044683467
87	0.1041373966
88	0.1038245206
89	0.1036216325
90	0.1034317585
91	0.1032557855
92	0.1030710051
93	0.1028972242
94	0.1026519751
95	0.1024018014
96	0.1021679978
97	0.1018815329
98	0.1014668406
99	0.1012687082
