iter	Passed	Remaining
0	303	30045
1	483	23700
2	658	21295
3	833	20008
4	1009	19188
5	1179	18473
6	1356	18020
7	1527	17570
8	1693	17122
9	1864	16782
10	2034	16463
11	2210	16211
12	2378	15918
13	2571	15794
14	2736	15504
15	2906	15256
16	3072	15000
17	3236	14743
18	3403	14511
19	3565	14263
20	3731	14037
21	3892	13800
22	4065	13611
23	4225	13380
24	4385	13157
25	4551	12953
26	4716	12752
27	4887	12567
28	5045	12352
29	5208	12152
30	5374	11961
31	5536	11764
32	5695	11563
33	5859	11373
34	6023	11186
35	6182	10990
36	6340	10796
37	6511	10623
38	6679	10447
39	6854	10281
40	7017	10098
41	7180	9915
42	7348	9741
43	7520	9571
44	7682	9389
45	7843	9207
46	8005	9027
47	8168	8849
48	8330	8670
49	8487	8487
50	8643	8304
51	8811	8133
52	8972	7957
53	9135	7782
54	9301	7610
55	9461	7433
56	9637	7270
57	9793	7091
58	9955	6918
59	10111	6741
60	10274	6568
61	10437	6397
62	10598	6224
63	10756	6050
64	10916	5878
65	11077	5706
66	11242	5537
67	11404	5366
68	11569	5197
69	11740	5031
70	11911	4865
71	12081	4698
72	12264	4536
73	12436	4369
74	12605	4201
75	12765	4031
76	12929	3862
77	13152	3709
78	13339	3546
79	13545	3386
80	13766	3229
81	13955	3063
82	14150	2898
83	14333	2730
84	14507	2560
85	14689	2391
86	14866	2221
87	15040	2050
88	15212	1880
89	15379	1708
90	15546	1537
91	15731	1367
92	15905	1197
93	16091	1027
94	16292	857
95	16474	686
96	16658	515
97	16845	343
98	17030	172
99	17210	0
